color,lat,long
#E0A6BD,49.285648,-123.139954
#030101,49.269400,-123.123800
#020302,49.276918,-123.126951
#1C060C,49.254093,-123.070545
#80505A,49.281952,-123.124168
#010000,49.280659,-123.100861
#020101,49.280404,-123.121227
#070401,49.288128,-123.114868
#020101,49.263543,-123.115202
#010201,49.280491,-123.120567
#EEEFF0,49.278304,-123.112944
#020101,49.279690,-123.097519
#FAF9F9,49.283180,-123.114578
#D3A5C6,49.278287,-123.117704
#0C0204,49.250000,-123.100000
#0E1709,49.289621,-123.123252
#020201,49.238990,-123.129839
#190911,49.282028,-123.125763
#000000,49.300000,-123.140000
#010101,49.280404,-123.121227
#020202,49.302448,-123.144623
#170A05,49.280720,-123.121391
#B77084,49.263427,-123.136850
#030300,49.280491,-123.120567
#060301,49.264413,-123.136799
#050303,49.278645,-123.098022
#030101,49.285912,-123.126251
#040502,49.238990,-123.129839
#020202,49.281071,-123.112518
#030501,49.280350,-123.122208
#060504,49.279452,-123.122732
#130808,49.288486,-123.142389
#020201,49.280404,-123.121227
#010101,49.285833,-123.111667
#1B0502,49.287894,-123.120479
#010101,49.280670,-123.121585
#011002,49.280491,-123.120567
#040503,49.281077,-123.132313
#080501,49.283980,-123.131011
#070404,49.279810,-123.121969
#B48E8A,49.278497,-123.128045
#030302,49.274642,-123.122509
#010301,49.250000,-123.100000
#030101,49.280404,-123.121227
#050202,49.269400,-123.123800
#060201,49.283237,-123.109058
#080806,49.280796,-123.117943
#150B0B,49.278191,-123.114655
#020202,49.281071,-123.112518
#110608,49.280491,-123.120567
#010401,49.280248,-123.114811
#080602,49.250000,-123.100000
#050301,49.283718,-123.121109
#000000,49.288128,-123.114868
#FCFAFB,49.278103,-123.125038
#080401,49.275404,-123.109266
#030200,49.278957,-123.123207
#0C0609,49.234223,-123.090756
#13110E,49.284439,-123.123016
#010201,49.287224,-123.113916
#B2A8AF,49.280237,-123.123904
#060403,49.238990,-123.129839
#070605,49.283573,-123.103950
#FDFCFD,49.263250,-123.106190
#1A0C09,49.287678,-123.113837
#8B6080,49.264154,-123.149737
#030202,49.283642,-123.106773
#000200,49.278566,-123.099695
#060203,49.283119,-123.103912
#180A10,49.274528,-123.126267
#020101,49.284759,-123.122697
#010101,49.267466,-123.090419
#010000,49.250000,-123.100000
#B1A0BB,49.271856,-123.135008
#170509,49.279776,-123.109901
#080908,49.284546,-123.125153
#200503,49.290437,-123.121587
#071908,49.280491,-123.120567
#040202,49.285272,-123.111095
#020101,49.219219,-123.118942
#050501,49.279270,-123.129776
#020102,49.281097,-123.120304
#080704,49.283108,-123.118874
#0D0908,49.285152,-123.118416
#010000,49.278618,-123.073347
#010001,49.282799,-123.104073
#060200,49.283333,-123.119217
#020502,49.281944,-123.121944
#030400,49.275162,-123.110011
#020001,49.234723,-123.150920
#020202,49.275404,-123.109266
#050202,49.283108,-123.118874
#100209,49.232037,-123.157140
#DDC1BA,49.250000,-123.100000
#650D10,49.267487,-123.069534
#010001,49.281078,-123.119965
#A8D0BD,49.300000,-123.140000
#120505,49.269957,-123.153788
#F1E7EC,49.277125,-123.121149
#010F03,49.275404,-123.109266
#55605A,49.281454,-123.119724
#030101,49.280720,-123.121391
#080300,49.266950,-123.139389
#F6F6F6,49.260442,-123.128236
#FEFEFE,49.270460,-123.100585
#050705,49.284111,-123.111565
#030303,49.279776,-123.109901
#010001,49.263543,-123.115202
#FDFDFE,49.287224,-123.113916
#010100,49.283718,-123.121109
#020403,49.275404,-123.109266
#030702,49.257953,-123.083289
#010000,49.284111,-123.111565
#190A10,49.251814,-123.079175
#001A05,49.290363,-123.137383
#1B0507,49.268372,-123.100617
#9A1C58,49.276478,-123.120492
#010501,49.283718,-123.121109
#010101,49.283150,-123.106422
#030303,49.286510,-123.127190
#120A09,49.264928,-123.147278
#030001,49.282811,-123.123575
#141908,49.287678,-123.113837
#080304,49.280248,-123.114811
#080705,49.270966,-123.155212
#010401,49.263329,-123.141701
#020402,49.280491,-123.120567
#75102C,49.250000,-123.100000
#0A0706,49.277125,-123.121149
#021604,49.290437,-123.121587
#040301,49.287290,-123.129217
#040102,49.280371,-123.129529
#060101,49.283345,-123.104855
#040203,49.280796,-123.117943
#010101,49.290319,-123.144829
#1E070B,49.250000,-123.100000
#E0DAE1,49.280491,-123.120567
#030402,49.280404,-123.121227
#070401,49.269180,-123.152683
#481B2C,49.275032,-123.121101
#040504,49.257443,-123.092472
#030001,49.283100,-123.104393
#D6A4D0,49.276760,-123.128319
#020100,49.276100,-123.121140
#020101,49.279121,-123.123505
#010001,49.284210,-123.108531
#040202,49.284572,-123.124657
#010101,49.288128,-123.114868
#000000,49.279617,-123.101364
#C2C1C1,49.286728,-123.134368
#190B0E,49.290437,-123.121587
#080305,49.287894,-123.120479
#FDF3FB,49.262397,-123.076726
#F9F5F4,49.278924,-123.123042
#070403,49.275318,-123.120628
#EADEE2,49.264197,-123.120347
#050605,49.287029,-123.115623
#030203,49.300000,-123.140000
#020101,49.273353,-123.103411
#FBF3F7,49.279270,-123.129776
#060405,49.275130,-123.123295
#010001,49.300000,-123.140000
#050503,49.285739,-123.123934
#000000,49.273353,-123.103411
#060706,49.276898,-123.116822
#020201,49.279776,-123.109901
#070101,49.267769,-123.146744
#040503,49.289711,-123.116074
#F6EFF4,49.280371,-123.129529
#010100,49.283695,-123.106071
#010101,49.280404,-123.121227
#050200,49.264240,-123.101410
#020301,49.276100,-123.121140
#030101,49.283695,-123.106071
#0D070A,49.275130,-123.123295
#7F4C68,49.285063,-123.120397
#D5D6D5,49.250000,-123.100000
#FCFCFC,49.274726,-123.127138
#050605,49.271467,-123.132893
#88245A,49.261200,-123.123056
#090806,49.285739,-123.123934
#BE99A8,49.283695,-123.106071
#100505,49.282989,-123.124039
#EAD0DE,49.288830,-123.117691
#040403,49.283333,-123.119217
#010101,49.285739,-123.123934
#040504,49.302448,-123.144623
#C38FA2,49.280404,-123.121227
#010101,49.282698,-123.128576
#22A952,49.288128,-123.114868
#050103,49.270634,-123.069466
#020201,49.263245,-123.123962
#050202,49.272636,-123.136124
#010000,49.273373,-123.129810
#FBF6F9,49.282110,-123.122996
#FAF7F9,49.289711,-123.116074
#020301,49.264240,-123.101410
#040605,49.284661,-123.112716
#010001,49.283333,-123.119217
#010101,49.280404,-123.121227
#1A0E09,49.284439,-123.123016
#020201,49.275153,-123.110006
#060300,49.264240,-123.101410
#020201,49.280796,-123.117943
#070702,49.283333,-123.119217
#010201,49.280491,-123.120567
#040202,49.289967,-123.132828
#030601,49.275452,-123.121330
#080405,49.280491,-123.120567
#FDF1FA,49.280289,-123.106751
#030101,49.280404,-123.121227
#040303,49.285091,-123.119598
#F5EBF1,49.287029,-123.115623
#030201,49.284572,-123.124657
#070605,49.279270,-123.129776
#040201,49.280404,-123.121227
#010501,49.278952,-123.123126
#060701,49.280404,-123.121227
#050602,49.242039,-123.111942
#000100,49.281982,-123.116661
#BD124C,49.278553,-123.115768
#F7EEF4,49.281944,-123.121944
#13100E,49.275030,-123.124710
#10070A,49.285063,-123.120397
#140908,49.279294,-123.075063
#130A09,49.279452,-123.122732
#020202,49.263906,-123.104981
#1C1114,49.288128,-123.114868
#170C09,49.283333,-123.119217
#0B2203,49.287029,-123.115623
#020402,49.281929,-123.100098
#040502,49.279690,-123.097519
#030402,49.275490,-123.109292
#030301,49.275153,-123.110006
#9C5185,49.282556,-123.107694
#010001,49.280404,-123.121227
#0C0205,49.284962,-123.124396
#6D0615,49.265408,-123.087294
#050304,49.281411,-123.074650
#0C0C0C,49.283718,-123.121109
#FAF9FA,49.280404,-123.121227
#020302,49.283345,-123.104855
#010701,49.275404,-123.109266
#010101,49.301526,-123.134138
#020101,49.275009,-123.122002
#FCFCFC,49.283333,-123.119217
#FCF1FA,49.261200,-123.123056
#080802,49.280905,-123.120658
#F0EEF0,49.275404,-123.109266
#050301,49.275801,-123.124581
#E3EEE6,49.271856,-123.135008
#030204,49.280414,-123.126281
#040001,49.275404,-123.109266
#030201,49.280404,-123.121227
#040202,49.280404,-123.121227
#DD600C,49.283819,-123.097784
#0E0A09,49.179144,-122.871283
#011707,49.275404,-123.109266
#040403,49.276120,-123.114468
#050301,49.283333,-123.119217
#030302,49.281411,-123.074650
#010B03,49.283718,-123.121109
#040401,49.275490,-123.109292
#030202,49.250000,-123.100000
#010000,49.281944,-123.121944
#131D13,49.250000,-123.100000
#040505,49.250000,-123.100000
#83A88A,49.275490,-123.109292
#020402,49.284308,-123.095509
#040101,49.279617,-123.101364
#DAA4B5,49.273523,-123.114779
#010202,49.275490,-123.109292
#010001,49.276894,-123.119896
#6D6766,49.283718,-123.121109
#0A0C07,49.280317,-123.121424
#0C0506,49.284939,-123.125923
#010101,49.284016,-123.114159
#040302,49.285614,-123.112082
#090606,49.289331,-123.117620
#017612,49.275404,-123.109266
#040102,49.284308,-123.095509
#010101,49.284759,-123.122697
#FBFBFB,49.251540,-123.077860
#020302,49.281944,-123.121944
#0E0102,49.263020,-123.122498
#020101,49.276894,-123.119896
#170D0F,49.263543,-123.115202
#0B0705,49.278952,-123.123126
#0C0503,49.250000,-123.100000
#040302,49.263543,-123.115202
#050603,49.280404,-123.121227
#010000,49.272552,-123.134292
#050203,49.285152,-123.118416
#070506,49.280659,-123.100861
#EFF3EE,49.225337,-123.083160
#050605,49.279776,-123.109901
#070807,49.238990,-123.129839
#020202,49.282051,-123.107887
#040403,49.282051,-123.120850
#A26D82,49.276894,-123.119896
#020304,49.282051,-123.120850
#10180A,49.281930,-123.100100
#010000,49.279720,-123.130350
#080605,49.280404,-123.121227
#010101,49.280404,-123.121227
#121211,49.279270,-123.129776
#F5EAEF,49.287224,-123.113916
#D87EB3,49.285063,-123.120397
#011602,49.288128,-123.114868
#0D0706,49.283718,-123.121109
#030204,49.281108,-123.120094
#090606,49.288128,-123.114868
#030402,49.280404,-123.121227
#020300,49.284111,-123.111565
#040400,49.288311,-123.116730
#974927,49.283333,-123.119217
#050705,49.280720,-123.121391
#040302,49.279776,-123.109901
#050502,49.284210,-123.108531
#150F0B,49.283237,-123.109058
#040102,49.284193,-123.111467
#020201,49.280720,-123.121391
#F7F4F6,49.276809,-123.112154
#060401,49.270460,-123.100585
#020601,49.279776,-123.109901
#070603,49.281411,-123.074650
#020601,49.275490,-123.109292
#050100,49.283690,-123.106145
#141715,49.279669,-123.122709
#020303,49.284193,-123.111467
#0D0608,49.287894,-123.120479
#130507,49.287224,-123.113916
#040202,49.283333,-123.119217
#000705,49.280781,-123.132072
#010101,49.289711,-123.116074
#030001,49.279643,-123.121970
#030202,49.280404,-123.121227
#030303,49.279720,-123.130350
#F7ECF3,49.250000,-123.100000
#020201,49.282749,-123.109100
#030202,49.280404,-123.121227
#071C08,49.250000,-123.100000
#110309,49.283440,-123.118910
#010001,49.286675,-123.143220
#020001,49.257198,-123.100853
#D3DCD9,49.271856,-123.135008
#5D6E11,49.287029,-123.115623
#040703,49.249191,-123.128819
#ECD3EB,49.259886,-123.147586
#FAF3F5,49.279270,-123.129776
#140707,49.280404,-123.121227
#070605,49.259596,-123.079884
#040202,49.288128,-123.114868
#040101,49.284759,-123.122697
#010301,49.282051,-123.120850
#B98397,49.275082,-123.126808
#020101,49.280796,-123.117943
#020101,49.288311,-123.116730
#050402,49.280720,-123.121391
#000000,49.264240,-123.101410
#020500,49.246155,-123.101036
#040202,49.257198,-123.100853
#16070C,49.280659,-123.100861
#1A1510,49.289711,-123.116074
#060604,49.275452,-123.121330
#050601,49.280404,-123.121227
#010101,49.283180,-123.114578
#080502,49.274285,-123.123491
#995572,49.250000,-123.100000
#060604,49.283336,-123.109054
#011101,49.280491,-123.120567
#040402,49.280404,-123.121227
#090601,49.284599,-123.108887
#000000,49.275877,-123.136033
#010000,49.288311,-123.116730
#030102,49.281944,-123.121944
#020402,49.280720,-123.121391
#151413,49.279270,-123.129776
#050201,49.238990,-123.129839
#000400,49.289882,-123.132891
#040403,49.283718,-123.121109
#010201,49.288276,-123.117108
#110508,49.264240,-123.101410
#F8F2F5,49.280731,-123.125784
#1F1B18,49.280905,-123.120658
#030101,49.283718,-123.121109
#060504,49.278912,-123.122932
#100A09,49.275432,-123.118277
#1D2A07,49.281559,-123.074852
#190509,49.234582,-123.141108
#EBCDE6,49.279270,-123.129776
#0C0F06,49.283695,-123.106071
#1B1307,49.280404,-123.121227
#010201,49.283187,-123.100302
#020102,49.276189,-123.099555
#020101,49.239953,-123.068538
#050301,49.283718,-123.121109
#010100,49.280659,-123.100861
#020101,49.281929,-123.100098
#FCE8F7,49.250000,-123.100000
#1E1111,49.259603,-123.070535
#11120B,49.275404,-123.109266
#0E0F0E,49.288173,-123.116510
#030202,49.282425,-123.124291
#020101,49.284962,-123.124396
#190E10,49.285063,-123.120397
#090305,49.283333,-123.119217
#0F0A08,49.275130,-123.123295
#030201,49.272190,-123.188001
#021604,49.262500,-123.068889
#D49DB4,49.250000,-123.100000
#160A0C,49.294900,-123.150161
#010101,49.284042,-123.107463
#070707,49.312100,-123.142820
#020401,49.281832,-123.118282
#760701,49.246177,-123.101330
#050603,49.287224,-123.113916
#040202,49.280731,-123.125784
#B17C9C,49.262024,-123.098886
#221C1F,49.286320,-123.125687
#6C575B,49.244246,-123.087856
#030403,49.284572,-123.124657
#010000,49.280796,-123.117943
#100A08,49.283333,-123.119217
#040501,49.263200,-123.138753
#050605,49.280404,-123.121227
#F2E5EE,49.277069,-123.081642
#010101,49.283718,-123.121109
#120A08,49.283327,-123.119291
#A36076,49.275130,-123.123295
#F3F2F5,49.280707,-123.122201
#962A55,49.278198,-123.113579
#15040A,49.261200,-123.123056
#FEFEFE,49.277157,-123.125916
#FBFBFB,49.286675,-123.143220
#150E0B,49.262066,-123.138428
#A62648,49.284962,-123.124396
#F4F4F7,49.281328,-123.119874
#EBE9E7,49.280796,-123.117943
#110605,49.287224,-123.113916
#030101,49.278545,-123.123833
#030102,49.266361,-123.138596
#070502,49.280404,-123.121227
#1B0711,49.283108,-123.118874
#040200,49.267466,-123.090419
#030301,49.267769,-123.146744
#050404,49.300000,-123.140000
#FBF1F5,49.250000,-123.100000
#040102,49.266196,-123.102106
#8AB401,49.267466,-123.090419
#010302,49.263200,-123.138753
#080506,49.283718,-123.121109
#D04777,49.279461,-123.122124
#010201,49.280720,-123.121391
#030504,49.270833,-123.106667
#11170E,49.281422,-123.105811
#D4D4D4,49.274715,-123.109570
#FFFFFF,49.271156,-123.139790
#030402,49.288383,-123.112904
#161415,49.281380,-123.085930
#F5D8E8,49.275404,-123.109266
#FEFCFD,49.283630,-123.106369
#040302,49.280491,-123.120567
#6E4B5F,49.263070,-123.114776
#0D0A0B,49.283333,-123.119217
#FCF4FA,49.282799,-123.104073
#011503,49.281422,-123.122585
#070604,49.280404,-123.121227
#030202,49.264895,-123.069458
#0E0606,49.273858,-123.121645
#021C02,49.292648,-123.128988
#020201,49.250000,-123.100000
#070802,49.280404,-123.121227
#010001,49.261267,-123.077614
#040402,49.282050,-123.124042
#020202,49.281422,-123.105811
#020102,49.261267,-123.077614
#161114,49.279333,-123.137667
#020101,49.261267,-123.077614
#100305,49.284378,-123.138472
#140F0B,49.284042,-123.107463
#010101,49.284679,-123.111893
#F8F5F7,49.288311,-123.116730
#010100,49.271580,-123.106979
#010101,49.263592,-123.112727
#021707,49.277548,-123.128961
#030201,49.282989,-123.124039
#020201,49.280404,-123.121227
#010302,49.275404,-123.109266
#010001,49.261267,-123.077614
#010101,49.280491,-123.120567
#895D72,49.281438,-123.132837
#EB4886,49.287941,-123.113132
#030303,49.260307,-123.096275
#020501,49.287793,-123.130136
#020302,49.239279,-123.035441
#D4BDC0,49.287029,-123.115623
#010101,49.261267,-123.077614
#020202,49.285912,-123.126251
#080705,49.280404,-123.121227
#040301,49.281391,-123.107781
#010100,49.275404,-123.109266
#130906,49.281420,-123.105940
#040402,49.283718,-123.121109
#020101,49.276520,-123.100632
#050704,49.281548,-123.123627
#060505,49.287894,-123.120479
#120F10,49.263860,-123.149219
#040602,49.283999,-123.106473
#060501,49.280491,-123.120567
#090602,49.283718,-123.121109
#F8F3F7,49.279270,-123.129776
#010100,49.285029,-123.127597
#050405,49.250000,-123.100000
#FAF6F9,49.283695,-123.106071
#020101,49.280404,-123.121227
#0E0606,49.278832,-123.109734
#1D090D,49.278832,-123.109734
#030203,49.279270,-123.129776
#1D070C,49.278832,-123.109734
#050401,49.283336,-123.109054
#010101,49.285912,-123.126251
#040101,49.264225,-123.101075
#221A19,49.279270,-123.129776
#040501,49.279270,-123.129776
#030302,49.281097,-123.120304
#010101,49.280212,-123.117270
#090C03,49.278832,-123.109734
#030501,49.279270,-123.129776
#010501,49.278832,-123.109734
#090507,49.284572,-123.124657
#0A0A09,49.283333,-123.119217
#010000,49.283718,-123.121109
#010001,49.276211,-123.099480
#050701,49.280404,-123.121227
#010000,49.285063,-123.120397
#040503,49.283573,-123.103950
#F9EEF9,49.291080,-123.136429
#010001,49.278450,-123.119553
#120407,49.283695,-123.106071
#010401,49.287231,-123.141441
#130B01,49.285203,-123.111122
#060303,49.283695,-123.106071
#080402,49.300000,-123.140000
#030102,49.281271,-123.098454
#030101,49.280404,-123.121227
#060601,49.280491,-123.120567
#191416,49.279543,-123.125854
#236041,49.250000,-123.100000
#110706,49.283981,-123.105431
#8D6E86,49.250000,-123.100000
#050604,49.287029,-123.115623
#080D07,49.251000,-123.166500
#020101,49.280733,-123.129184
#FBF0F8,49.280371,-123.129529
#021001,49.291763,-123.128235
#88738A,49.250000,-123.100000
#0A1407,49.280491,-123.120567
#CD7695,49.250000,-123.100000
#030201,49.287029,-123.115623
#010201,49.280491,-123.120567
#050503,49.283333,-123.119217
#010000,49.283623,-123.103828
#130C0C,49.250000,-123.100000
#020101,49.280404,-123.121227
#020501,49.283623,-123.103828
#010101,49.290437,-123.121587
#A86B9D,49.288571,-123.131445
#030502,49.281944,-123.121944
#060505,49.280414,-123.126281
#030202,49.281929,-123.107423
#875678,49.264413,-123.136799
#96537B,49.284569,-123.142807
#020701,49.289331,-123.117620
#020101,49.281944,-123.121944
#050403,49.232667,-123.139000
#060506,49.250000,-123.100000
#1B261D,49.275716,-123.108738
#0E0706,49.284569,-123.142807
#030101,49.285029,-123.127597
#070606,49.278456,-123.110458
#020101,49.278618,-123.110296
#030302,49.283108,-123.118874
#160909,49.267353,-123.124526
#020302,49.280373,-123.101210
#B51F62,49.250000,-123.100000
#010101,49.280404,-123.121227
#020302,49.281944,-123.121944
#010201,49.288396,-123.130503
#BA84B2,49.268622,-123.181840
#B9A2AA,49.284170,-123.114225
#060501,49.278912,-123.122932
#030201,49.278912,-123.122932
#E0D7DB,49.281818,-123.133439
#160C0B,49.282737,-123.123720
#030603,49.280796,-123.117943
#030101,49.268622,-123.181840
#030101,49.280404,-123.121227
#241218,49.280733,-123.129184
#110106,49.282749,-123.109706
#010101,49.280248,-123.114811
#A8838E,49.279690,-123.097519
#EBD6E2,49.280706,-123.119369
#0A100D,49.269400,-123.123800
#060401,49.269339,-123.101795
#040401,49.281685,-123.132942
#130D0D,49.283958,-123.122392
#050303,49.283390,-123.117911
#1BA35A,49.250000,-123.100000
#070000,49.267606,-123.101137
#070600,49.283779,-123.067879
#110814,49.249904,-123.075554
#0D0E0C,49.266667,-123.166667
#050501,49.288559,-123.120972
#0F0A09,49.285049,-123.138942
#020101,49.281185,-123.104233
#7C787B,49.286675,-123.143220
#610F1B,49.264728,-123.136742
#14B463,49.287689,-123.130887
#FBEDF5,49.250000,-123.100000
#030202,49.250000,-123.100000
#020202,49.280404,-123.121227
#080806,49.246155,-123.101036
#031109,49.250000,-123.100000
#060501,49.279289,-123.109623
#1A0D13,49.280237,-123.123904
#010502,49.262781,-123.125832
#020302,49.279289,-123.109623
#020201,49.284569,-123.142807
#025B2B,49.276809,-123.112154
#040404,49.250000,-123.100000
#180E05,49.268032,-123.155807
#FBF1F7,49.276979,-123.126573
#040503,49.284759,-123.122697
#DCD8D6,49.288830,-123.117691
#060401,49.281411,-123.074650
#0E0507,49.289583,-123.117568
#030201,49.264456,-123.069657
#070502,49.275619,-123.127930
#F3EAED,49.278251,-123.121859
#050304,49.287224,-123.113916
#DFCEF7,49.270470,-123.148667
#EA71B8,49.268723,-123.150435
#B86D89,49.278774,-123.122895
#4E081A,49.291500,-123.135147
#070D09,49.288248,-123.118069
#FEFEFE,49.250000,-123.100000
#020602,49.281929,-123.100098
#915D77,49.264728,-123.136742
#187428,49.274063,-123.154361
#190F0E,49.279289,-123.109623
#FBFBFB,49.250000,-123.100000
#0E0407,49.280404,-123.121227
#120E0A,49.279289,-123.109623
#170B06,49.279289,-123.109623
#010101,49.300000,-123.140000
#010101,49.238990,-123.129839
#985C74,49.282834,-123.120458
#F8F6F7,49.269413,-123.130710
#030203,49.282520,-123.107964
#0A0709,49.279573,-123.138529
#251720,49.289711,-123.116074
#667F73,49.285106,-123.102149
#FBFCFD,49.288128,-123.114868
#050204,49.285739,-123.123934
